Team,Total Matches,Wins,Win %,Goals scored,Goals per match
Brazil,985,629,63.86,2161,2.19
Spain,705,411,58.3,1420,2.01
Germany,961,560,58.27,2144,2.23
England,1020,580,56.86,2230,2.19
Iran,502,275,54.78,932,1.86
Czech Republic,308,166,53.9,551,1.79
Argentina,984,529,53.76,1836,1.87
Italy,812,431,53.08,1393,1.72
Croatia,329,174,52.89,573,1.74
New Caledonia,227,120,52.86,614,2.7
South Korea,865,455,52.6,1516,1.75
Tahiti,210,109,51.9,564,2.69
Russia,705,360,51.06,1215,1.72
Netherlands,796,404,50.75,1640,2.06
Mexico,876,444,50.68,1525,1.74
France,851,425,49.94,1516,1.78
Ivory Coast,569,283,49.74,911,1.6
Australia,517,257,49.71,1046,2.02
Sweden,1030,506,49.13,2030,1.97
Egypt,636,311,48.9,1027,1.61
Portugal,624,303,48.56,1057,1.69
Japan,633,306,48.34,1124,1.78
China PR,596,287,48.15,1079,1.81
Saudi Arabia,628,301,47.93,998,1.59
Ghana,604,288,47.68,981,1.62
Scotland,790,375,47.47,1364,1.73
German DR,298,140,46.98,506,1.7
Hungary,943,442,46.87,1920,2.04
Nigeria,580,269,46.38,861,1.48
Yugoslavia,481,223,46.36,940,1.95
Morocco,539,249,46.2,755,1.4
Iraq,552,254,46.01,872,1.58
Zambia,723,331,45.78,1130,1.56
Martinique,304,139,45.72,561,1.85
Denmark,806,364,45.16,1444,1.79
Ukraine,278,125,44.96,385,1.38
Czechoslovakia,497,223,44.87,917,1.85
Serbia,286,127,44.41,438,1.53
Suriname,350,155,44.29,682,1.95
Burma,341,151,44.28,572,1.68
Saint Vincent and the Grenadines,148,65,43.92,249,1.68
Romania,704,309,43.89,1153,1.64
Fiji,221,97,43.89,523,2.37
Senegal,532,233,43.8,692,1.3
Belgium,779,341,43.77,1387,1.78
Trinidad and Tobago,669,291,43.5,1140,1.7
Uzbekistan,281,122,43.42,458,1.63
South Africa,404,175,43.32,535,1.32
Uruguay,889,385,43.31,1401,1.58
United States,691,299,43.27,1020,1.48
Vietnam Republic,153,66,43.14,281,1.84
Cameroon,538,232,43.12,739,1.37
Poland,827,356,43.05,1391,1.68
Uganda,626,266,42.49,965,1.54
Algeria,509,216,42.44,718,1.41
North Korea,340,144,42.35,541,1.59
Solomon Islands,170,72,42.35,383,2.25
Costa Rica,610,258,42.3,988,1.62
Tunisia,585,246,42.05,843,1.44
Austria,800,334,41.75,1426,1.78
Kuwait,568,237,41.73,878,1.55
Haiti,450,187,41.56,707,1.57
Qatar,540,224,41.48,775,1.44
Zimbabwe,459,190,41.39,626,1.36
Guadeloupe,236,97,41.1,397,1.68
Vietnam,202,82,40.59,339,1.68
Honduras,519,210,40.46,762,1.47
Saint Kitts and Nevis,181,73,40.33,316,1.75
Slovakia,300,121,40.33,433,1.44
New Zealand,362,146,40.33,619,1.71
United Arab Emirates,526,211,40.11,745,1.42
Mali,502,200,39.84,639,1.27
Tajikistan,149,59,39.6,227,1.52
Dominican Republic,117,46,39.32,185,1.58
DR Congo,466,183,39.27,703,1.51
Jamaica,567,222,39.15,760,1.34
Colombia,554,215,38.81,679,1.23
Turkey,578,223,38.58,776,1.34
Bosnia and Herzegovina,230,88,38.26,330,1.43
Chile,766,293,38.25,1093,1.43
Republic of Ireland,576,220,38.19,783,1.36
Kenya,650,247,38,908,1.4
Madagascar,225,85,37.78,294,1.31
Turkmenistan,138,52,37.68,214,1.55
Indonesia,553,208,37.61,919,1.66
Cura‡ao,334,124,37.13,534,1.6
Thailand,639,237,37.09,981,1.54
Greece,575,213,37.04,709,1.23
Syria,408,151,37.01,590,1.45
Oman,452,167,36.95,584,1.29
Bulgaria,682,251,36.8,957,1.4
Ethiopia,366,134,36.61,514,1.4
Norway,814,298,36.61,1226,1.51
Guinea,469,171,36.46,635,1.35
Libya,339,123,36.28,429,1.27
Grenada,214,77,35.98,372,1.74
Cape Verde,170,61,35.88,178,1.05
Bermuda,154,55,35.71,262,1.7
Paraguay,720,256,35.56,948,1.32
Canada,383,136,35.51,457,1.19
Guatemala,448,159,35.49,614,1.37
Slovenia,258,91,35.27,315,1.22
Jordan,400,141,35.25,482,1.2
Malawi,568,200,35.21,680,1.2
Switzerland,808,284,35.15,1182,1.46
Malaysia,602,210,34.88,908,1.51
Gabon,362,126,34.81,419,1.16
Israel,437,152,34.78,633,1.45
Montenegro,118,41,34.75,143,1.21
Angola,355,123,34.65,405,1.14
India,406,140,34.48,563,1.39
Congo,378,129,34.13,476,1.26
Cuba,339,115,33.92,443,1.31
Bahrain,494,167,33.81,603,1.22
Rwanda,246,83,33.74,264,1.07
Barbados,265,89,33.58,345,1.3
Sudan,402,135,33.58,455,1.13
El Salvador,504,168,33.33,616,1.22
Saint Lucia,199,66,33.17,286,1.44
Hong Kong,389,127,32.65,580,1.49
Mozambique,307,99,32.25,323,1.05
Wales,667,215,32.23,832,1.25
Vanuatu,174,56,32.18,341,1.96
Burkina Faso,392,126,32.14,453,1.16
Peru,627,201,32.06,771,1.23
Antigua and Barbuda,198,63,31.82,279,1.41
Panama,435,136,31.26,497,1.14
Iceland,457,142,31.07,546,1.19
Burundi,191,59,30.89,204,1.07
Guyana,266,82,30.83,338,1.27
Belarus,261,80,30.65,313,1.2
Togo,389,119,30.59,419,1.08
Sierra Leone,256,78,30.47,242,0.95
Singapore,556,168,30.22,731,1.31
Papua New Guinea,116,35,30.17,280,2.41
Ecuador,517,156,30.17,635,1.23
Kyrgyzstan,146,44,30.14,160,1.1
Gibraltar,107,32,29.91,146,1.36
North Macedonia,246,73,29.67,288,1.17
Georgia,250,74,29.6,289,1.16
Maldives,159,47,29.56,220,1.38
French Guiana,157,46,29.3,233,1.48
Latvia,404,115,28.47,488,1.21
